"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"14.11.2024","131,43","132,02","133,34","130,73","33,87M","-0,88%"
"13.11.2024","132,60","134,90","136,65","132,27","32,56M","-1,89%"
"12.11.2024","135,16","137,82","137,82","134,64","33,08M","-2,14%"
"11.11.2024","138,12","137,20","138,33","135,24","45,79M","1,63%"
"08.11.2024","135,90","135,80","137,00","133,64","64,52M","0,28%"
"07.11.2024","135,52","131,85","135,54","129,65","52,61M","2,73%"
"06.11.2024","131,92","133,11","136,59","130,40","109,22M","2,45%"
"05.11.2024","128,77","129,00","129,37","127,37","23,07M","0,05%"
"02.11.2024","128,70","125,74","129,30","125,01","32,52M","2,47%"
"01.11.2024","125,60","123,80","125,67","122,71","24,66M","1,75%"
"31.10.2024","123,44","123,16","124,94","122,25","34,78M","-0,29%"
"30.10.2024","123,80","126,16","127,20","123,52","35,26M","-1,72%"
"29.10.2024","125,97","125,12","126,96","121,85","67,27M","0,88%"
"28.10.2024","124,87","131,98","132,26","123,50","80,46M","-6,11%"
"25.10.2024","133,00","134,15","136,50","132,00","55,16M","-0,84%"
"24.10.2024","134,12","134,94","135,20","132,15","28,82M","-0,47%"
"23.10.2024","134,76","136,00","137,50","134,13","35,90M","-1,09%"
"22.10.2024","136,24","136,12","140,08","135,51","55,32M","0,20%"
"21.10.2024","135,97","135,68","136,60","135,11","19,26M","0,22%"
"18.10.2024","135,67","136,27","137,30","134,80","26,45M","-0,28%"
"17.10.2024","136,05","137,49","138,29","134,80","49,33M","-0,87%"
"16.10.2024","137,24","134,03","138,80","133,96","78,15M","2,44%"
"15.10.2024","133,97","131,85","134,40","131,43","28,31M","1,55%"
"14.10.2024","131,92","131,50","133,35","130,51","34,77M","0,08%"
"11.10.2024","131,82","132,94","132,94","131,52","21,59M","-0,66%"
"10.10.2024","132,69","132,50","133,49","132,15","17,59M","0,14%"
"09.10.2024","132,51","133,77","133,92","131,50","19,47M","-0,99%"
"08.10.2024","133,83","133,11","134,88","132,90","32,05M","0,25%"
